ProjectID,RequirementID,RequirementText
17,1,The system shall provide an option to withdraw money.
17,2,The system shall query the user for the amount of money.
17,3,The system shall query the user for the account type.
17,4,The system shall validate the amount is available in the user's account before releasing funds to the user.
17,5,The system shall validate the amount is a multiple of $20.
17,6,The system shall debit the user's account upon withdrawal of funds.
17,7,The system shall be able to issue a specific amount of money to the user.
19,1,The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.
19,2,The system must be quickly accessible by both managers and chefs.
19,3,The system must be intuitive and simple in the way it displays all relevant data and relationships.
19,4,The menus of the system must be easily navigable by the users with buttons that are easy to understand.
19,5,All the functions of the system must be available to the user every time the system is turned on.
19,6,The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.
19,7,The client should agree to EULA before using our software.
20,1,All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.
20,2,Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.
20,3,The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.
20,4,All network transactions that involve financial information or personally identifiable information shall be encrypted.
20,5,Users shall be required to log in to the Cafeteria Ordering System for all operations except viewing a menu.
20,6,Patrons shall log in according to the restricted computer system access policy.
20,7,The system shall permit only cafeteria staff members who are on the list of authorized Menu Managers to create or edit menus.
20,8,Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.
21,1,Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.
21,2,System security and access levels are provided in the online system. There are varying levels of system access and functional authority. Each student's access is limited to his/her own registration records. Only authorized system administrator(s) has access to all student registration records.
21,3,"The online registration system is ""self-service style"" system that shall initially address the student registration needs."
24,1,The application should be connected to the Internet.
24,2,The application should be connected to the GPS device.
24,3,The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.
24,4,Test environments should be built for the application to allow testing of the applications different functions.
24,5,The application should be portable with iOS and Android.
25,1,The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.
25,2,The system shall allow the user to scroll the campus map from the campus map tab.
25,3,The campus map shall provide visual clues regarding what areas have prepared audio and therefore may be selected.
25,4,The campus map shall have a pause/resume button. The pause and resume button will allow the user to scroll and select other buildings without being interrupted by the automatic search and announce feature.
25,5,The system shall provide a way to return to the startup screen.
29,1,Responses to view information shall take no longer than 5 seconds to appear on the screen.
29,2,The system shall accommodate large data items without fault.
29,3,System will use secured database.
29,4,Unauthorised users can only read data without modifying anything.
29,5,ABS shall handle all expected and unexpected errors in ways that prevent loss in information and long downtime period.
31,1,Flea Market system will interface with the web server and RDBMS software using APIs provided by the implementation language
31,2,All transactions at the Flea Market require a valid user ID and password.
31,3,Secure data transfer over the Internet could be provided using SSL encryption that will be configured by the host system administrator.
31,4,The IP addresses where the transaction was made from will be logged.
31,5,User passwords will be stored in the database in an encrypted format.
31,6,Most of the system functions will be controlled using the administrative interface.
31,7,Detailed documentation of the code and SRS will enable easy maintenance of the Flea Market.
34,1,The system use SSL (secured socket layer) in all transactions that include any confidential customer information.
34,2,The system must automatically log out all customers after a period of inactivity.
34,3,The system should not leave any cookies on the customer's computer containing the user's password.
34,4,The system's back-end servers shall only be accessible to authenticated administrators.
34,5,Sensitive data will be encrypted before being sent over insecure connections like the internet.
34,6,The system provides storage of all databases on redundant computers with automatic switchover.
34,7,The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.
34,8,An end-user may use this system on any OS; either it is Windows or Linux.
35,1,The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.
35,2,The system should be able to manage all the information incoming from the database and the catalogue.
35,3,The product is Web based therefore it will be used in any environment that allows Web access.
35,4,For the system to successfully operate the registration system should be integrated with other IT services and the portal.
35,5,The system should need to be entirely self-supporting since the users would be using it only to register courses.
35,6,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.
35,7,"Everyone (stakeholders and guests) can have access to the system and the catalogue. Every client must have secure and private access to his/her data. The  and the service man can have access to every part of the system. All these accesses (except the ""guest tour"" access) require identification through ID and password."
35,8,The system will develop a security system that will reduce to the minimum the possibility of corruption from systems and/or humans.
36,1,The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.
36,2,The system shall be available 99.5% of the time.
36,3,The software system needs a robust security mechanism in place so that unauthorized users are not allowed access to parts of the system.
36,4,Each user shall either be trusted or not trusted.
36,5,All source code and development related documents shall be controlled under a version control system.
36,6,All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.
36,7,Since the software must run on several popular hardware platforms and the goal is to achieve a reasonable level of platform independence.
37,1,High level of performance requires high speed network and high level of connectivity.
37,2,The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.
37,3,Every user of the software is provided a unique login ID and a password which is stored in the database hashed by SHA2 algorithm.
37,4,The software is available for use from the supermarket opening time to the closing time.
